open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,time
1784631180000,66225.99,66234.94,66192.06,66192.07,98.67274,1784631239999,6533048.9030348,1882,41.84762,2770342.5709578,0,1784631180
1784631240000,66192.06,66204.0,66192.06,66194.72,12.61841,1784631299999,835318.8245006,1564,3.27528,216805.8353138,0,1784631240
1784631300000,66194.72,66196.65,66176.55,66193.98,7.84484,1784631359999,519249.9954641,2057,2.06681,136794.0466706,0,1784631300
1784631360000,66193.98,66193.99,66192.22,66193.98,2.34073,1784631419999,154940.9042604,616,0.82147,54375.478411,0,1784631360
1784631420000,66193.99,66196.64,66193.98,66196.63,7.32446,1784631479999,484836.7927096,692,4.25516,281666.4077496,0,1784631420
1784631480000,66196.64,66196.64,66196.63,66196.63,5.29269,1784631539999,350358.2727016,522,3.10669,205652.4395216,0,1784631480
1784631540000,66196.64,66200.0,66179.99,66180.0,30.18289,1784631599999,1997962.2959546,1294,18.91295,1252017.4120621,0,1784631540
1784631600000,66180.0,66197.32,66179.99,66182.01,16.648,1784631659999,1101873.1614347,2070,12.47979,825994.3044517,0,1784631600
1784631660000,66182.01,66194.0,66182.0,66194.0,5.76986,1784631719999,381884.0128004,887,5.11149,338306.0722189,0,1784631660
1784631720000,66193.99,66200.0,66193.99,66200.0,5.55885,1784631779999,367968.3347717,1020,2.61777,173284.3641332,0,1784631720
1784631780000,66200.0,66200.0,66189.89,66199.99,4.67121,1784631839999,309219.3073912,1358,2.44591,161910.323858,0,1784631780
1784631840000,66199.99,66200.0,66168.44,66181.08,10.11649,1784631899999,669596.4439525,2334,6.54322,433089.2031358,0,1784631840
1784631900000,66181.09,66200.0,66164.22,66199.99,13.49257,1784631959999,892955.40219,1918,7.89195,522335.2594565,0,1784631900
1784631960000,66199.99,66200.0,66176.8,66176.81,8.32936,1784632019999,551338.3153967,1461,3.64608,241347.7936912,0,1784631960
1784632020000,66176.81,66176.81,66159.99,66166.01,13.53312,1784632079999,895440.7704654,1462,3.89426,257657.9005763,0,1784632020
1784632080000,66166.01,66173.53,66166.0,66170.28,2.91195,1784632139999,192681.2887696,623,2.2087,146146.4946568,0,1784632080
1784632140000,66170.28,66170.29,66149.47,66154.24,8.28593,1784632199999,548163.0247148,1233,1.47195,97375.4151909,0,1784632140
1784632200000,66154.25,66154.3,66152.82,66152.82,2.59905,1784632259999,171937.2069071,724,1.55106,102608.7827557,0,1784632200
1784632260000,66152.83,66187.44,66147.82,66187.44,9.83649,1784632319999,650787.5702886,2123,8.06591,533648.0540499,0,1784632260
1784632320000,66187.44,66246.0,66187.44,66231.99,13.22224,1784632379999,875680.7845002,2460,5.07898,336309.9363033,0,1784632320
1784632380000,66232.0,66242.0,66214.8,66221.99,5.01715,1784632439999,332285.0041141,2291,1.9302,127831.3789997,0,1784632380
1784632440000,66222.0,66256.22,66199.99,66232.12,99.92104,1784632499999,6616130.798824,2598,60.26456,3989781.2588546,0,1784632440
1784632500000,66232.11,66242.0,66184.22,66190.0,55.21947,1784632559999,3656103.1531123,2119,26.92535,1782440.3745019,0,1784632500
1784632560000,66190.0,66244.0,66190.0,66243.99,48.11598,1784632619999,3185345.1508803,2085,44.73881,2961772.568835,0,1784632560
1784632620000,66244.0,66255.99,66244.0,66245.99,4.65727,1784632679999,308552.8149566,1446,1.8048,119566.084914,0,1784632620
1784632680000,66246.0,66246.0,66226.0,66234.0,6.88331,1784632739999,455916.0283297,1568,2.79449,185082.6060872,0,1784632680
1784632740000,66234.0,66234.01,66209.1,66216.31,21.80018,1784632799999,1443848.3428211,1325,9.64116,638539.6620744,0,1784632740
1784632800000,66216.31,66221.18,66210.0,66221.18,6.05598,1784632859999,400987.1316917,1095,3.12987,207237.3452442,0,1784632800
1784632860000,66221.17,66221.99,66185.37,66206.11,12.39946,1784632919999,820875.5607765,2365,5.18271,343053.4278854,0,1784632860
1784632920000,66206.11,66206.11,66184.0,66204.3,6.45844,1784632979999,427523.9073011,2061,2.31939,153529.2068307,0,1784632920
1784632980000,66204.3,66216.0,66204.29,66216.0,8.37289,1784633039999,554384.2275357,783,2.54219,168321.4661753,0,1784632980
1784633040000,66215.99,66216.0,66210.0,66210.01,6.25122,1784633099999,413910.7588701,558,1.21535,80470.9213623,0,1784633040
1784633100000,66210.01,66216.56,66192.78,66204.7,9.47046,1784633159999,627027.3617147,886,2.06853,136956.2046154,0,1784633100
1784633160000,66204.7,66211.68,66184.44,66184.45,19.90764,1784633219999,1317824.3254895,1603,3.52298,233224.2320069,0,1784633160
